name,smiles,p_crbn_binder,predicted_active
cand_182,O=C1CCC(N2C(=O)c3cc(I)c(C(F)(F)F)cc3C2=O)C(=O)N1,0.95,1
cand_183,NS(=O)(=O)c1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_184,O=C1CCC(N2C(=O)c3c(C(=O)O)ccc(C(F)(F)F)c3C2=O)C(=O)N1,0.865,1
cand_185,Nc1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
cand_186,CN(C)c1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,1
cand_187,O=C1CCC(N2C(=O)c3c([N+](=O)[O-])ccc(C(F)(F)F)c3C2=O)C(=O)N1,0.82,1
cand_188,N#Cc1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_189,Cc1ccc2c(c1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_190,O=C1CCC(N2C(=O)c3cc(Br)c(Br)cc3C2=O)C(=O)N1,0.955,1
cand_191,Nc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_192,CN(C)c1c(C(N)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_193,Nc1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,1
cand_194,O=C1CCC(N2C(=O)c3ccc(Cl)c(F)c3C2=O)C(=O)N1,0.935,1
cand_195,NC(=O)c1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,1
cand_196,NC(=O)c1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,1
cand_197,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)c(C(=O)O)c3C2=O)C(=O)N1,0.935,1
cand_198,CCc1c(S(N)(=O)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
cand_199,O=C1CCC(N2C(=O)c3c(O)ccc([N+](=O)[O-])c3C2=O)C(=O)N1,0.85,1
cand_200,CNc1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_201,CNc1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_202,Cc1ccc(C(F)(F)F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.865,1
cand_203,CN(C)c1cc(C(=O)O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,1
cand_204,CNc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_205,N#Cc1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
cand_206,CCc1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,1
cand_207,CN(C)c1ccc(C(=O)O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.88,1
cand_208,NS(=O)(=O)c1ccc(F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.875,1
cand_209,Nc1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_210,CNc1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.88,1
cand_211,NS(=O)(=O)c1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
